Fx,Fy,FzTx,Ty,Tz
-0.00822018,-0.000800549,-0.00712868,-0.0411346,0.00591946,0.0453439
-0.00399159,-0.00315982,-0.00212428,-0.07285,-0.0629587,0.0641199
-0.00117885,0.000799955,-0.00309798,-0.0466507,-0.0443506,-0.0339865
0.000681174,0.000726522,0.00717548,0.00165104,-0.0544825,-0.0274634
-0.00127159,-0.000499903,0.00152544,0.0174858,-0.00389194,0.0399652
-0.00392126,0.00271136,-0.015963,-0.0856216,0.000441551,0.0868326
-0.00264381,-0.00139969,-0.0198536,-0.104989,-0.0411768,0.142153
-0.00337254,-0.00165945,0.000515494,-0.0161331,-0.00714207,-0.0624365
0.000214708,-0.00200969,-0.0108251,-0.0575416,-0.11361,0.0771204
-0.00524234,-0.000325857,-0.00673195,-0.0340088,-0.00963688,-0.00974792
-0.00289665,-0.0026539,-0.00918004,-0.0665977,-0.0407572,0.0900522
-0.00946854,-0.00146204,0.000237021,-0.0244987,0.0268507,-0.0233893
-0.0032221,0.000767292,-0.00306317,-0.0744636,0.00941372,-0.03552
-0.000943649,-0.00142759,-0.00352999,-0.0824287,-0.0913439,0.022616
0.00192333,-0.00229233,-0.00335833,-0.0101554,-0.0663767,-0.00384277
-4.81486e-05,-0.000900923,0.00375751,-0.10442,-0.0806131,-0.0306219
-0.00296413,0.000868381,-0.0105309,-0.0956848,-0.00686741,0.0467401
-0.00254117,-0.00354355,0.0128112,-0.00424648,0.000563622,-0.099111
-0.0041797,0.00261015,-0.00849577,-0.0644004,0.0167227,0.00457245
0.000863922,0.00299746,0.00224069,-0.1302,0.0327139,-0.0448431
-0.00384234,-0.0056234,-0.015985,-0.0582512,-0.0540781,0.0713983
-0.00147747,-0.000497757,0.00961116,-0.0334442,-0.0291147,-0.128286
7.98821e-05,-0.00346047,-0.0103988,-0.0661934,-0.0298777,0.0195184
-0.00223731,-0.00118118,-0.00307557,-0.0595214,0.0434027,-0.0352301
-0.00501,-0.00367147,-0.00710055,-0.0515182,-0.100469,0.0325952
-0.00409209,-0.000925957,-0.00541207,-0.0601318,-0.00299168,0.0485101
-0.00147854,-0.00060743,0.0110484,-0.0346382,0.0269232,-0.0847754
-0.00317203,-0.00162309,-0.00350663,-0.0388305,0.00519466,0.0213953
-0.0023229,-2.58076e-05,-0.00145337,-0.0295456,0.0594625,-0.0197729
-0.00230335,0.000233234,0.00052074,-0.0281684,-0.0526743,-0.06146
-0.00121294,-0.00288457,0.000617537,-0.0680206,-0.0205774,-0.0759863
-0.00109779,-0.00169271,-0.00178286,-0.0607383,0.00782681,0.0233102
0.000844967,0.000573696,-0.00510689,-0.0202034,0.0140257,0.00923401
-0.00625371,0.00289995,0.00177959,-0.0684288,-0.0553179,0.00851685
-0.00122176,0.0030461,0.00192693,-0.0845802,0.0438986,-0.00298828
-0.00539957,-0.00632268,0.00711587,0.00201725,-0.0305338,-0.0324454
-0.00364302,0.00294215,0.0107932,0.00560307,0.0858068,-0.0424475
-0.00324773,-0.0015077,0.00708917,-0.0652282,-0.035531,-0.0164923
-0.0052837,-0.00163227,-5.38492e-05,-0.0432174,0.0453558,0.0217157
-0.000237334,-7.40874e-05,-0.00113913,-0.0751617,0.0482817,-0.0616278
-0.00396715,-0.000994264,-0.0108385,-0.083287,0.0380278,0.0886102
